FacilityID,Name,Street,City,State,ZipCode,Geo,YelpID,YelpPhone,YelpCategories,YelpURL,YelpImageUrl,YelpRaiting,YelpReviewCount,Score,InspectionDate
10789914,Jack in the Box #848,8630 N LAMAR BLVD,AUSTIN,TX,78753,"(30.355587532744984, -97.70325266937874)",9YFoy5wtSadKTp82bVenWg,15128348924,"Fast Food,Burgers",https://www.yelp.com/biz/jack-in-the-box-austin-2?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media1.fl.yelpcdn.com/bphoto/fpeuWOeBNq1vMSS1FMVykw/o.jpg,2,9,73,8/15/2018
10789961,Jack in the Box #906,7404 MC NEIL DR,AUSTIN,TX,78729,"(30.435235568785505, -97.76837449474395)",lKpW6o8XkH2uQR8a12neqQ,15122191809,Fast Food,https://www.yelp.com/biz/jack-in-the-box-austin-10?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media4.fl.yelpcdn.com/bphoto/yO1ZhZ7NniRiZWWTcEbBYg/o.jpg,3,48,91,8/21/2018
10789972,Jack in the Box #905,8706 E US 290 HWY,AUSTIN,TX,78754,"(30.32927561625612, -97.65823193539867)",t-BuLWziPfOrG6m6B-H46A,15129288969,"Burgers,Fast Food,Breakfast & Brunch",https://www.yelp.com/biz/jack-in-the-box-austin-4?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media3.fl.yelpcdn.com/bphoto/4v1CYHr1pR0PHZPiK6p-ig/o.jpg,2,12,90,4/17/2018
10789992,Jack in the Box #869,1000 E 41ST ST,AUSTIN,TX,78751,"(30.300469388987977, -97.71965420627991)",gFClISSN6xMn7C4F6l48EA,15124586252,Fast Food,https://www.yelp.com/biz/jack-in-the-box-austin-14?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media1.fl.yelpcdn.com/bphoto/KhDNpxQvp_lA3cYfWYLPFA/o.jpg,2,14,96,8/3/2018
10790411,"Angel Donuts & Treats, LLC",8300 N FM 620 RD,AUSTIN,TX,78726,"(30.421918536638458, -97.84725423283601)",zjPs_GgxuiKq3BEB-wTOtA,15123304825,"Bakeries,Bubble Tea,Donuts",https://www.yelp.com/biz/angel-donuts-and-treats-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media2.fl.yelpcdn.com/bphoto/SBYz8gxCqix0qqzT-URL9w/o.jpg,4,184,98,6/8/2018
10790632,Jack in the Box #912,6540 ED BLUESTEIN BLVD,AUSTIN,TX,78723,"(30.30385532665203, -97.66188432920791)",jatEYw2OYJFHhdwUde9HsA,15129270330,Fast Food,https://www.yelp.com/biz/jack-in-the-box-austin-9?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media4.fl.yelpcdn.com/bphoto/KdjN916-ABPQr4eLu1lP_Q/o.jpg,2,13,82,9/7/2018
10792531,LW - Thai Spice,2121 LOHMANS CROSSING RD,LAKEWAY,TX,78734,"(30.34239910671534, -97.97068668597181)",5xxa-QGFs3B_JXkv3zSY4Q,15122632221,Thai,https://www.yelp.com/biz/thai-spice-lakeway-2?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media2.fl.yelpcdn.com/bphoto/sv4n8RYUQOI_el7FAUAunQ/o.jpg,3,142,84,9/17/2018
10792842,Rio,601 RIO GRANDE ST,AUSTIN,TX,78701,"(30.270095529844266, -97.74927184141275)",L1NxsRllA7g62Elnv2-P3Q,15124368464,"Dance Clubs,Lounges,Venues & Event Spaces",https://www.yelp.com/biz/rio-night-club-day-club-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media3.fl.yelpcdn.com/bphoto/n13DpyE_KBDjeuZXr0RoRA/o.jpg,2,95,87,5/24/2018
10793927,Bluebonnet School of Canyon Creek,10321 BOULDER LN,AUSTIN,TX,78726,"(30.42900226566677, -97.83895608883185)",1lXvDlQorkn2pk4tsh_kcQ,15122195100,"Child Care & Day Care,Preschools",https://www.yelp.com/biz/bluebonnet-school-of-canyon-creek-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media3.fl.yelpcdn.com/bphoto/coua1m-34z0ojueOvhTa4A/o.jpg,4,14,98,6/7/2018
10794093,BC - Cuisine Royale by Mam,3929 MARKET ST,BEE CAVE,TX,78738,"(30.307160928203277, -97.93593928112584)",_R1m_rc2JFHaAG-Fv70BaQ,15122637507,Thai,https://www.yelp.com/biz/madam-mams-bee-cave?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media2.fl.yelpcdn.com/bphoto/qWiZHg5qD6qDlF9PaWc_uw/o.jpg,4,194,74,6/22/2018
10800848,Faith Lutheran Church,6600 WOODROW AVE,AUSTIN,TX,78757,"(30.33789355780146, -97.72861879129262)",OTfrkZsqz52TGKUhizF_0Q,15124511116,Churches,https://www.yelp.com/biz/faith-lutheran-church-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media4.fl.yelpcdn.com/bphoto/dPz-1p2meFKyqHfedLfwcw/o.jpg,1,1,97,3/12/2018
10801112,Banger's Sausage House and Beer Garden,79 RAINEY ST,AUSTIN,TX,78701,"(30.25892486991981, -97.73841414699935)",7PZKJbMakI_WSbgA-DJUHA,15123861656,"Beer Gardens,Breakfast & Brunch,Wine Bars",https://www.yelp.com/biz/bangers-sausage-house-and-beer-garden-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media1.fl.yelpcdn.com/bphoto/Tc2GN11rGqWksXappbxptQ/o.jpg,4,1984,94,2/27/2018
10801551,Bob's Steak and Chop House,301 LAVACA ST,AUSTIN,TX,78701,"(30.266136584113593, -97.74600096101577)",ZgIPuv43YvTMqNLW6Qj9QQ,15122222627,"Steakhouses,Seafood",https://www.yelp.com/biz/bobs-steak-and-chop-house-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media4.fl.yelpcdn.com/bphoto/JDxMOgmy54HtHYhYlq-j0w/o.jpg,4,315,90,4/24/2018
10805254,TCBY Frozen Yogurt,5701 W SLAUGHTER LN,AUSTIN,TX,78749,"(30.200170165479193, -97.86850331952694)",ViSJjShOLriKWcAR8M5HeQ,15125058229,Ice Cream & Frozen Yogurt,https://www.yelp.com/biz/tcby-austin-3?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media2.fl.yelpcdn.com/bphoto/7Knz0uHPKANo6g02yVy2QQ/o.jpg,5,28,100,7/31/2018
10805514,Love Goat,2716 GUADALUPE ST,AUSTIN,TX,78705,"(30.292840920840547, -97.74175239153433)",HoLltXQfn_vK-LS4VP3wCw,15125227289,Bars,https://www.yelp.com/biz/love-goat-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg,https://s3-media4.fl.yelpcdn.com/bphoto/HX0wqy1HsTs_b6MMLu7kCw/o.jpg,4,25,95,9/6/2018
